"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","454","create a new user","chromium","Mon Oct 20 16:20:00 EDT 2025","failed","Mon Oct 20 16:20:01 EDT 2025","Users API Testing","API\users.spec.js","",""
"","19141","FB Account creation","chromium","Sun Oct 19 20:26:15 EDT 2025","failed","Sun Oct 19 20:26:35 EDT 2025","","facebook.spec.js","",""
"","5712","get started link","chromium","Mon Oct 20 14:20:11 EDT 2025","passed","Mon Oct 20 14:20:16 EDT 2025","","example.spec.js","",""
"","5635","FB Account creation","chromium","Wed Oct 22 22:16:04 EDT 2025","passed","Wed Oct 22 22:16:09 EDT 2025","Facebook Login Page","UI\facebook.spec.js","",""
"","4852","FB Account creation","chromium","Mon Oct 20 14:24:09 EDT 2025","passed","Mon Oct 20 14:24:14 EDT 2025","Facebook Login Page","facebook.spec.js","",""
"","228","POST add a new pet","chromium","Mon Oct 20 15:25:15 EDT 2025","failed","Mon Oct 20 15:25:15 EDT 2025","PetStore API Test","API\petstore.spec.js","",""
"","313","Create a new user","chromium","Mon Oct 20 17:03:56 EDT 2025","failed","Mon Oct 20 17:03:57 EDT 2025","","API\userss.spec.js","",""
"","255","Post New Pet","chromium","Mon Oct 20 15:19:02 EDT 2025","failed","Mon Oct 20 15:19:03 EDT 2025","PetStore API Test","API\petstore.spec.js","",""
"","8900","FB Account creation","firefox","Sun Oct 19 21:13:40 EDT 2025","passed","Sun Oct 19 21:13:49 EDT 2025","Facebook Login Page","facebook.spec.js","",""
"","26704","Window Handling","chromium","Mon Oct 20 20:29:54 EDT 2025","failed","Mon Oct 20 20:30:21 EDT 2025","","UI\window.spec.js","",""
"","239","Get all pets by Status","chromium","Mon Oct 20 14:55:42 EDT 2025","failed","Mon Oct 20 14:55:42 EDT 2025","PetStore API Test","API\petstore.spec.js","",""
"","14860","Bying pliers","chromium","Wed Oct 22 15:44:08 EDT 2025","passed","Wed Oct 22 15:44:22 EDT 2025","Shopping","UI\tools.spec.js","",""
"","340","create a new user","chromium","Mon Oct 20 16:59:28 EDT 2025","failed","Mon Oct 20 16:59:28 EDT 2025","","API\users.spec.js","",""
"","232","Get Pet by ID","chromium","Mon Oct 20 15:22:24 EDT 2025","failed","Mon Oct 20 15:22:24 EDT 2025","PetStore API Test","API\petstore.spec.js","",""
"","246","create a new user","chromium","Mon Oct 20 17:00:31 EDT 2025","failed","Mon Oct 20 17:00:31 EDT 2025","","API\userss.spec.js","",""
"","4513","has title","chromium","Mon Oct 20 14:20:11 EDT 2025","passed","Mon Oct 20 14:20:15 EDT 2025","","example.spec.js","",""
